Location,ULCS No.,ID,Date Report Issued,Location (Room/Area),,Recommended Corrective Action,Category,Respon-sibility*,Notes,Status,"Date of
Update",Location Closed,Start Date,End Date
Greenberg ES,8430,6,2/7/13,Crawlspace under Rooms 106-108,,Remove the fiberglass pipe insulation exhibiting mold growth.  A mold DDC was issued on 2/5/13.,Mold/Moisture,M,Mold growth was observed on the fiberglass pipe insulation. The B.E. reported there was a plumbing leak that was repaired.,open,2/7/13,NO,,
Greenberg ES,8430,7,2/7/13,Crawlspace under Rooms 106-108,,Remove and discard all cardboard and wooden materials exhibiting mold growth.  Clean and disinfect all remaining contents.  A mold DDC was issued on 2/5/13.,Mold/Moisture,M,"Mold growth was observed on cardboard debris, cardboard boxes and an old wooden storage unit.",open,2/7/13,NO,,
Greenberg ES,8430,8,2/7/13,Crawlspace under Rooms 106-108,,Evaluate and repair the leaking waste line in the bathroom above the 106-108 crawlspace.,Mold/Moisture,M,A plumbing leak was observed on one of the waste line in the bathroom on the floor above.,open,2/7/13,NO,,
Greenberg ES,8430,9,2/7/13,Crawlspace under the Auditorium,,Evaluate and repair the source of moisture in the auditorium crawlspace.,Mold/Moisture,M,Water was observed on the exterior walls in the crawlspace located under the Auditorium.  ,open,2/7/13,NO,,
Greenberg ES,8430,10,2/7/13,Crawlspace under the Auditorium,,An asbestos DDC was issued on 2/5/13 for the removal of the damaged asbestos pipe fittings.,Point Source,M,Damaged asbestos containing pipe fitting insulation was observed.,open,2/7/13,NO,,
Greenberg ES,8430,11,2/7/13,Crawlspace under the Auditorium,,A mold DDC was issued on 2/5/13 for the cleanout of the auditorium crawlspace.,Mold/Moisture,M,"Mold growth was observed throughout the crawlspace on desks, boxes, paper, wooden pallets, non-asbestos debris, bags of concrete and other misc. materials.",open,2/7/13,NO,,
Greenberg ES,8430,12,2/7/13,Crawlspaces,,"Designate new storage locations for educational supplies, desks, chairs, and cleaning supplies.",Mold/Moisture,F,"The crawlspaces should not be used for the storage of school supplies, desks, chair, etc..",open,2/7/13,NO,,
Greenberg ES,8430,13,5/14/14,Hallway outside Room 109,,Remove the efflorescence and flaking paint from the hallway ceiling outside Room 109.,Point Source,F,Efflorescence and flaking paint was observed on the hallway ceiling outside Room 109 adjacent to the roof drain pipe shaft.,open,5/14/14,NO,,
Greenberg ES,8430,14,5/14/14,Hallway outside Room 109,,"An asbestos DDC was issued on 4/30/14 for the removal of the loose 9""x9"" floor tile in the hallway outside Room 109.",Point Source,M,"Loose 9""x9"" floor tile was observed in the hallway outside Room 109.",open,5/14/14,NO,,
Greenberg ES,8430,15,5/14/14,Hallway outside Room 215,,Remove the efflorescence and flaking paint from the hallway ceiling outside Room 215.,Point Source,F,Efflorescence and flaking paint was observed on the hallway ceiling outside Room 215 adjacent to the roof drain pipe shaft.,open,5/14/14,NO,,
Greenberg ES,8430,16,5/14/14,Hallway outside the Library Room 03,,Remove the spalling section of plaster ceiling from the hallway outside the Library.,Point Source,F,A spalling section of non-asbestos plaster ceiling was observed in the hallway outside the Library and adjacent to the roof drain pipe shaft. Closed per 8430-16 report.,closed,7/8/14,NO,,
Greenberg ES,8430,17,5/14/14,Hallway outside the Library Room 03,,"An asbestos DDC was issued on 4/30/14 for the removal of the loose 9""x9"" floor tile in hallway outside Room 03.",Point Source,M,"Loose 9""x9"" floor tile was observed in the hallway outside Room 03 and adjacent to the roof drain pipe shaft.",open,5/14/14,NO,,
Greenberg ES,8430,18,5/14/14,Library Room 03,,Remove the water stained ceiling tiles and place a bucket to capture water.  Replace the ceiling tiles following repairs to the roof drain.,Mold/Moisture,F,Water stained ceiling tiles were observed adjacent to the closet and roof drain pipe shaft.,open,5/14/14,NO,,
Greenberg ES,8430,19,5/14/14,Room 109,,"An asbestos DDC was issued on 4/30/14 for the removal of the loose 9""x9"" floor tile in Room 109.",Point Source,M,"Loose 9""x9"" floor tile was observed in the classroom adjacent to the closet and roof drain pipe shaft. Closed per 8430-19 report.",closed,7/8/14,NO,,
Greenberg ES,8430,20,5/14/14,Room 319,,Remove the closet's recessed metal locker insert to allow for evaluation and repair of the roof drain located in this pipe shaft. ,Mold/Moisture,M,"The roof drain located behind the metal closet insert appears to be leaking. The roof drain runs behind the closets in Rooms 319, 215, 109 and in 03.  The drain was checked from the roof and was free of obstructions and debris.  Water damaged building materials include 9""x9"" floor tile, painted concrete ceilings, 2'x4' ceiling tiles, and plaster ceiling.  The water intrusion occurs during heavy rainfall. Water pools on the classroom floor following heavy rain.  ",open,5/14/14,NO,,
Greenberg ES,8430,21,5/14/14,Room 319,,Replace the missing floor tile at the entrance to the classroom.,Safety,M,"Missing 9""x9"" floor tile was observed at the classroom entrance and is a potential tripping hazard.",open,5/14/14,NO,,
Greenfield ES,2470,1,10/13/11,Building Wide,,Implement mold DDC issued on 1/3/2012 and recommendations provided in the 10/13/2011 KEM/1Source mold and moisture report.,Mold/Moisture,M,A building wide evaluation was conducted by KEM/1Source on September 24th and 25th. Maintenance reported the locations on the 1/3/12 DDC were completed with the exception of sealing the exposed pipe shafts at 5 locations.  Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,2,3/21/12,3rd Floor Hallway outside Room 308,,Evaluate the AHU located above the suspended ceiling outside room 308 for leaks or other deficiencies and repair as needed.,Mold/Moisture,F,An air handling unit was observed above the water stained ceiling tiles.  Leaks or condensation may be occurring around the coil.  Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,3,3/21/12,3rd Floor Hallway outside Room 308,,Replace the water stained ceiling tiles and monitor location for additional staining.,Mold/Moisture,F,Water stained ceiling tiles were observed.,closed,2/7/13,NO,,
Greenfield ES,2470,4,3/21/12,3rd Floor Hallway outside Room 315,,Replace the water stained ceiling tiles and monitor location for new staining. ,Mold/Moisture,F,A water stained ceiling tile was observed in the hallway located outside room 315. The source of moisture may also be related to roof leaks around the cooling tower.  Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,5,3/21/12,3rd Floor Stairwell located on the 23rd Street side,,Replace the water stained ceiling tiles and monitor location for new staining. ,Mold/Moisture,F,Water staining was observed on the ceiling tiles and light fixture. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,6,3/21/12,3rd Floor Stairwell located on the 23rd Street side,,Evaluate the roof located above the 23rd street stairwell and repair as needed.,Mold/Moisture,M,Water staining was observed on the ceiling tiles and light fixture. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,7,3/21/12,Computer Room 315,,Replace the water stained ceiling tiles and monitor location for additional staining. ,Mold/Moisture,F,Missing and water stained ceiling tiles were observed in this room. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,8,3/21/12,Computer Room 315,,Evaluate the area under the cooling tower for leaks and repair as needed.,Mold/Moisture,M,Two active leaks were reported by the teacher during heavy rainfall located under the cooling tower. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,9,3/21/12,Computer Room 315,,Evaluate the roof and associated drain line located above the bay window as repair as needed.,Mold/Moisture,M,One active leak was reported by the teacher during heavy rainfall located under the bay window roof drain. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,10,3/21/12,Cooling tower pipe chase located outside Room 315,,Evaluate the cooling tower supply and return lines located in the pipe shaft outside room 315 and repair as needed. ,Mold/Moisture,C,Missing fiberglass pipe insulation and heavy corrosion was observed on the either the supply or return line associated with the cooling tower. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,11,3/21/12,Mechanical Room located on ground floor of the fire tower ,,Provide a locksmith to re-key the door to the mechanical room located on the ground floor of the fire tower.,Ventilation,M,The B.E. and the Principal do not have a key or access to the mechanical room located on the ground floor of the fire tower.  On 3/23/2012 the BE found a key for this room.,closed,3/23/12,NO,,
Greenfield ES,2470,12,3/21/12,Room 106 Conference,,Evaluate the two dielectric fittings located above the water stained fiberglass pipe insulation and perform repairs as needed.,Mold/Moisture,F,Two dielectric fittings were observed above the  water stained fiberglass pipe insulation that may be the source of moisture.  Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,13,3/21/12,Room 106 Conference,,Replace the water stained ceiling tiles and monitor location for additional staining. ,Mold/Moisture,F,Missing and water stained ceiling tiles were observed in this room.   Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,14,3/21/12,Room 106 Conference,,A mold DDC was issued on 3/8/2012 for the encapsulation of the water stained fiberglass pipe insulation.,Mold/Moisture,M,Water stained fiberglass pipe insulation was observed above the suspended ceiling. ,closed,3/21/12,NO,,
Greenfield ES,2470,15,3/21/12,Room 111 Closet,,Discard the package of Sound Starter books located in the closet.,Mold/Moisture,F,Mold growth was observed on the package of Sound Starter books located in the closet.,closed,3/21/12,NO,,
Greenfield ES,2470,16,3/21/12,Room 111 Closet,,No further action - the leak was repaired.,Mold/Moisture,M,"During the Fall of 2011 a leak occurred on the unit ventilator located in room 308.  Water ran down the wall cavity impacting the closet. The leak was repaired by the Maintenance Department.  The water damaged materials were not reported until the closet was being cleaned out on March 7, 2012.",closed,3/21/12,NO,,
Greenfield ES,2470,17,3/21/12,Room 111 Closet,,A mold DDC was issued on 3/8/2012 for the cleaning of the concrete wall.,Mold/Moisture,M,Water staining and mold growth was observed on the concrete wall located in the closet.,closed,3/21/12,NO,,
Greenfield ES,2470,18,3/21/12,Room 111 Closet,,A mold DDC was issued on 3/8/2012 for the removal of the wooden built-in shelving unit.,Mold/Moisture,M,Water staining and mold growth was observed on the wooden built-in shelving in the closet.,closed,3/21/12,NO,,
Greenfield ES,2470,19,3/21/12,Room 111 Closet,,A mold DDC was issued on 3/8/2012 for the cleaning and encapsulation of the fiberglass pipe insulation.,Mold/Moisture,M,Water staining and mold growth was observed on the fiberglass pipe insulation located in the closet.,closed,3/21/12,NO,,
Greenfield ES,2470,20,3/21/12,Room 111 Closet,,"An asbestos DDC was issued on 3/8/2012 for the removal of the 9""x9"" floor tile.",Point Source,M,"Loose 9""x9"" floor tile was observed in the closet.",closed,3/21/12,NO,,
Greenfield ES,2470,21,3/21/12,Room 113 B Closet,,Replace the missing section of concrete block wall in room 113B closet.,Point Source,M,A missing section of concrete block wall exposing the pipe shaft was reported from a previous repair to the unit ventilator piping.,closed,5/7/12,NO,,
Greenfield ES,2470,22,3/21/12,Room 209,,Replace the missing section of concrete block wall in room 209.,Point Source,M,A missing section of concrete block wall exposing the pipe shaft was reported from a previous repair to the unit ventilator piping. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,23,3/21/12,Room 308,,"An asbestos DDC was issued on 3/8/2012 for the removal of the loose 9""x9"" floor tile.",Point Source,M,"Loose and missing 9""x9"" floor tile was observed at the bay window.",closed,3/21/12,NO,,
Greenfield ES,2470,24,3/21/12,Room 308,,Replace the missing section of concrete block wall in room 308.,Point Source,M,A missing section of concrete block wall exposing the pipe shaft was observed from a previous repair to the unit ventilator piping. Partial supplies were delivered and are presently being stored in the lobby adjacent to the elevator. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,25,3/21/12,Room 308,,Evaluate the roof and associated drain line located above the bay window as repair as needed.,Mold/Moisture,M,A leak was reported during heavy rainfall from the roof drain associated with the bay window. Maintenance report this action item closed on 5/7/2012.,closed,5/7/12,NO,,
Greenfield ES,2470,26,5/16/12,Unit Ventilators ,,"Evaluate the mechanical condition of the unit ventilators including the pneumatic control system and repair as needed. Based on the conclusions of the mold and moisture report issued on 10/13/11 and the remediation option letter issued on 11/9/2011, the unit ventilators and mechanical components were observed to be poor condition.",Ventilation,M,"On 5/15/2012, Maintenance reported the upper and lower filters were changed and the fresh air dampers were fully opened to allow for the maximum amount of fresh air. Fans will be provided for each classroom since the air conditioning system will not be utilized this summer.",closed,2/7/13,NO,,
Greenfield ES,2470,27,12/13/12,Room 209,,Replace the water stained and missing ceiling tiles and monitor for new staining.,Mold/Moisture,F,Water stained and missing ceiling tiles were observed in this room. The teacher reported a leaked occurred in this room in the fall of 2011 and was repaired.,open,12/13/12,NO,,
Greenfield ES,2470,28,12/13/12,Room 209,,Remove the old ceiling tiles located above the suspended ceiling.,Mold/Moisture,F,Several old fiberglass ceiling tiles were observed above the suspended ceiling from previous replacements.,open,12/13/12,NO,,
Greenfield ES,2470,29,12/13/12,Room 209,,"An asbestos DDC was issued on 10/26/2012 for squaring off the 9""x9"" floor tile in this room.",Point Source,M,"Missing 9""x9"" floor tile was observed adjacent to the window. Closed per Maintenance.",closed,7/9/14,NO,,
Grover Washington,7370,1,8/12/2010,Auditorium,,Remove and replace the water damaged sheetrock exhibiting visible mold growth.,Mold/Moisture,M,Completed per KEM.,closed,9/1/2010,NO,,
Grover Washington,7370,2,8/12/2010,Auditorium,,Repair/modify the existing HVAC duct work to prevent condensation.,Mold/Moisture,M,Completed per KEM.,closed,9/1/2010,NO,,
Grover Washington,7370,3,8/12/2010,Auditorium,,Clear clogged condensate drain line in the lobby adjacent to the auditorium.,Mold/Moisture,M,Completed per KEM.,closed,9/1/2010,NO,,
Grover Washington,7370,4,9/25/12,Room 120,,Replace the missing ceiling tiles.,Mold/Moisture,F,The impacted ceiling tiles were removed from the ceiling grid.  ,open,9/25/12,NO,,
Grover Washington,7370,5,9/25/12,Room 120,,Remove all debris from vicinity of floor drain.  The floor drain is accessible through the access door located at the bottom of the pipe chase.,Mold/Moisture,F,Debris was observed around the condensate floor drain located at the bottom of the pipe chase.   ,open,9/25/12,NO,,
Grover Washington,7370,6,9/25/12,Room 120,,A DDC was issued on 9/12/2012 for the remediation of the observed mold growth on the fiberglass pipe insulation.,Mold/Moisture,M,Mold growth was observed on the fiberglass pipe insulation located above the suspended ceiling and within the cinderblock pipe chase. This room is presently not being used until the repairs are completed. Closed per Maintenance.,closed,7/9/14,NO,,
Grover Washington,7370,7,9/25/12,Room 218,,Repair clogged condensate drain line on the unit ventilator located in room 218 or issue a work order as needed.,Mold/Moisture,F," Condensate from a clogged unit ventilator drain line in room 218 resulted in water damaged building materials in room 120. The unit ventilator in room 218 was shut-off until the drain line can be repaired.  The drip pan and drain line is not accessible, they are located behind the coil.   ",open,9/25/12,NO,,
Hancock ES,8180,1,2/14/2011,Near Boiler Room,,The Final Report for the safe drinking water program has been completed and accepted by the Department of Public Health on 04/06/2004. An on-site review was conducted on 02/11/2011; refer to correspondence dated 02/15/2011 for suggested corrective actions regarding water outlet signage.,Point Source,OEMS,Some additional information transfer between the School District and the building representative may be appropriate. ,open,2/16/2011,NO,,
Hancock ES,8180,2,2/14/2011,Near Boiler Room,,"In order to determine whether the school has conditions which would cause an excessive number of cancers, a qualified epidemiologist would need to evaluate the school.",Point Source,OEMS,,open,3/17/11,NO,,
Hancock ES,8180,3,2/14/2011,Near Boiler Room,,Conduct a focused IEQ evaluation once additional information regarding specific IEQ issues are provided.,Point Source,OEMS,,open,3/17/11,NO,,
Hancock ES,8180,4,2/14/2011,Near Boiler Room,,"With regard to 2007 boiler room asbestos abatement project, air sample analysis reveals acceptable results. Communicate asbestos documentation to the building representative.",Point Source,OEMS,,open,3/17/11,NO,,
Harding MS,7110,1,3/24/11,2nd Floor Storage Closet in IMC,,Scrape any remaining loose sections of plaster walls and ceiling (approximately 60 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M, Completed per Maintenance,closed,9/7/11,NO,,
Harding MS,7110,2,3/24/11,3rd Floor Female Staff Bathroom,,Scrape any remaining loose sections of plaster walls or ceiling (approximately 35 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,3,3/24/11,3rd Floor Plaster Ceiling,,Seal the attic penetrations to prevent cold air in the attic from entering occupied spaces.,Point Source,F,Facilities will order clips to hold the ceiling tiles in place.,closed,6/30/11,NO,,
Harding MS,7110,4,3/24/11,Hallway outside Room 324,,Replace the 2 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,5,3/24/11,Hallway outside Room 324,,Evaluate the roof drain in the vicinity of the water stained ceiling tiles. Make repairs as needed. ,Exterior,M,Completed per maintenance on 4/8/2011.,closed,4/14/11,NO,,
Harding MS,7110,6,3/24/11,Hallway outside Room 324,,Scrape any remaining loose sections of plaster wall (approximately 10 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,7,3/24/11,Hallways across from Room 222,,Replace the 6 feet of damaged fiberglass pipe insulation.,Point Source,F,,closed,6/30/11,NO,,
Harding MS,7110,8,3/24/11,Hallways outside Room 311,,Scrape any remaining loose sections of plaster wall (approximately 10 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,9,3/24/11,Heating System,,The School District's Maintenance and Capital Improvements Departments are in the process of evaluating the pneumatic system deficiencies (regarding temperature control) on a district wide level.,Ventilation,C,New radiator control valves are being installed.  The project is expected to be completed by the summer of 2013.,closed,6/30/11,NO,,
Harding MS,7110,10,3/24/11,Main Office,,Evaluate the condensate line on the window mounted air conditioning unit. Make repairs or adjustments as needed to prevent moisture intrusion.,Mold/Moisture,F,Facilities will caulk around unit to prevent leaking.  ,closed,6/30/11,NO,,
Harding MS,7110,11,3/24/11,Main Office Closet,,Scrape any remaining loose sections of plaster walls and ceiling (approximately 35 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,9/7/11,NO,,
Harding MS,7110,12,3/24/11,Main Roof,,Evaluate the roof and perform repairs as needed.,Mold/Moisture,M,According to the Building Engineer the School District roofers applied caulk to the roof flashing and made necessary repairs.,closed,6/30/11,NO,,
Harding MS,7110,13,3/24/11,Roof area above Room 226 (former locker room),,Evaluate the roof drain for proper function and make repairs or adjustments as needed. ,Point Source,M,Completed per Maintenance on 4/11/2011.,closed,4/14/11,NO,,
Harding MS,7110,14,3/24/11,Room 102,,Replace the water stained ceiling tile.,Mold/Moisture,F,Completed per Facilities on 3/25/11.,closed,3/31/11,NO,,
Harding MS,7110,15,3/24/11,Room 103,,Replace the 7 water stained ceiling tiles. ,Mold/Moisture,F,Complete per FAC,closed,3/31/11,NO,,
Harding MS,7110,16,3/24/11,Room 105A,,Replace the 2 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 3/25/11.,closed,3/31/11,NO,,
Harding MS,7110,17,3/24/11,Room 106 A (Truancy Intervention),,Inspect the clean out line in the middle of the floor for deficiencies and repair as needed.,Point Source,M,Completed per maintenance on 4/8/2011.,closed,4/14/11,NO,,
Harding MS,7110,18,3/24/11,Room 111,,Replace the 3 water stained ceiling tiles. ,Mold/Moisture,F,Water stained ceiling tiles have been replaced.,closed,4/2/11,NO,,
Harding MS,7110,19,3/24/11,Room 112,,Replace the 8 water stained ceiling tiles. ,Mold/Moisture,F,Water stained ceiling tiles have been replaced.,closed,4/2/11,NO,,
Harding MS,7110,20,3/24/11,Room 112,,Scrape any remaining loose sections of plaster wall (approximately 8 square feet) from the substrate under the window. Utilize lead safe work practices and repaint.,Point Source,M,The plaster wall was scraped but not repainted.,closed,6/30/11,NO,,
Harding MS,7110,21,3/24/11,Room 202,,Replace the 12 missing and water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,22,3/24/11,Room 204,,Replace the 2 water stained ceiling tiles. ,Mold/Moisture,F,Completed per KEM,closed,6/30/11,NO,,
Harding MS,7110,23,3/24/11,Room 206 Nurse's Suite,,Replace the 5 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,24,3/24/11,Room 206 Nurse's Suite,,"Remove and replace the 9"" x 9"" Vinyl Asbestos Tiles (VAT) (approximately 3 square feet).",Point Source,M,"An Imminent Hazard form was completed on 2/25/11 and provided to Mike Cooper, SDP AHERA manger. An Asbestos DDC form was submitted to OEMS on 2/25/11. The abatement and stabilization work was completed by the A-team on 2/26/2011.",closed,3/24/11,NO,,
Harding MS,7110,25,3/24/11,Room 208,,Replace the water stained ceiling tile.,Mold/Moisture,F,Completed per Facilities on 3/25/11.,closed,3/31/11,NO,,
Harding MS,7110,26,3/24/11,Room 209,,Replace the water stained ceiling tile.,Mold/Moisture,F,Completed per Facilities on 3/25/11.,closed,3/31/11,NO,,
Harding MS,7110,27,3/24/11,Room 211,,Replace the 7 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 3/30/11.,closed,3/30/11,NO,,
Harding MS,7110,28,3/24/11,Room 211,,Scrape any remaining loose sections of plaster wall (approximately 5 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,The plaster wall was scraped but not repainted.,closed,6/30/11,NO,,
Harding MS,7110,29,3/24/11,Room 212,,Replace the 12 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,30,3/24/11,Room 213,,Replace the 3 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 3/31/11.,closed,3/31/11,NO,,
Harding MS,7110,31,3/24/11,Room 215,,Replace the 2 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 3/25/11.,closed,3/31/11,NO,,
Harding MS,7110,32,3/24/11,Room 216,,Replace the 3 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 4/2/11.,closed,4/2/11,NO,,
Harding MS,7110,33,3/24/11,Room 216,,Scrape any remaining loose sections of plaster wall (approximately 20 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,The plaster wall was scraped but not repainted.,closed,6/30/11,NO,,
Harding MS,7110,34,3/24/11,Room 217,,Replace the 3 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 4/5/11.,closed,4/13/11,NO,,
Harding MS,7110,35,3/24/11,Room 218,,Replace the 5 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 4/5/11.,closed,4/13/11,NO,,
Harding MS,7110,36,3/24/11,Room 219,,Replace the 2 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 4/6/11.,closed,4/13/11,NO,,
Harding MS,7110,37,3/24/11,Room 221,,Replace the 4 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 4/8/11,closed,4/13/11,NO,,
Harding MS,7110,38,3/24/11,Room 222,,Replace the 3 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 4/6/11.,closed,4/13/11,NO,,
Harding MS,7110,39,3/24/11,Room 223,,Replace the 3 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 4/8/11,closed,4/13/11,NO,,
Harding MS,7110,40,3/24/11,Room 224,,Replace the 12 missing and water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities on 4/12/11,closed,4/13/11,NO,,
Harding MS,7110,41,3/24/11,Room 301,,Replace the 3 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,42,3/24/11,Room 303,,Scrape the peeling paint from the plaster ceiling utilizing lead safe work practices. Repaint the plaster ceiling. ,Point Source,M,The plaster ceiling was scraped but not repainted.,closed,6/30/11,NO,,
Harding MS,7110,43,3/24/11,Room 307B,,Replace the 13 missing and water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,44,3/24/11,Room 309,,Replace the water stained ceiling tile.,Mold/Moisture,F,Completed per Facilities on 3/25/11.,closed,3/31/11,NO,,
Harding MS,7110,45,3/24/11,Room 309,,Scrape any remaining loose sections of plaster wall (approximately 5 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,46,3/24/11,Room 310 Closet,,Scrape any remaining loose sections of plaster walls and ceiling (approximately 75 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,47,3/24/11,Room 311,,Replace the 7 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,48,3/24/11,Room 312,,Replace the 2 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,49,3/24/11,Room 313,,Scrape any remaining loose sections of plaster wall (approximately 40 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,50,3/24/11,Room 314,,Scrape any remaining loose sections of plaster wall (approximately 15 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,51,3/24/11,Room 316,,Replace the water stained ceiling tile.,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,52,3/24/11,Room 318,,Scrape any remaining loose sections of plaster wall (approximately 20 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,53,3/24/11,Room 319,,Replace the 7 water stained ceiling tiles. ,Mold/Moisture,F,Completed per Facilities,closed,11/15/11,NO,,
Harding MS,7110,54,3/24/11,Room 324,,Scrape any remaining loose sections of plaster wall (approximately 10 square feet) from the substrate. Utilize lead safe work practices and repaint.,Point Source,M,Completed per Maintenance,closed,7/28/11,NO,,
Harding MS,7110,55,3/24/11,Throughout Building,,Initiate School District IPM to remove evaluate the reported presence of rodent droppings throughout the building.,IPM,F,"Pest Management has performed trapping in the Main Office and scheduled the removal of pigeon feces from the window mounted A/C casing and the installation of spikes for the week of April 4th.  According to the Building Engineer, IPM has been preforming regular trappings throughout the building, however as of 6/30/2011, the pigeon feces had not been cleaned and spikes have not been installed. Completed per Facilities.",closed,11/15/11,NO,,
Harding MS,7110,56,3/24/11,Exterior Masonry,,Capital evaluation pending regarding loose pieces of cornice molding.,Safety,C,"According to the Building Engineer an engineer from the School District did an inspection of the cornice molding the 1st or 2nd week of June, however as of 6/30/2011 no repairs had been made.",open,6/30/11,NO,,
Harding MS,7110,57,3/24/11,Exterior Pointing,,Evaluate the exterior pointing for water seepage and perform repairs as needed. ,Mold/Moisture,M,Completed per Maintenance,open,8/9/12,NO,,
Harding MS,7110,58,3/24/11,Room 108 (Life Skills),,Replace the 2 window air conditioning units. OEMS will inform the FAC and School to purchase and install by maintenance. ,Ventilation,OEMS,2 new window mounted AC units were delivered on 6/29/2011 and need to be installed.,open,6/30/11,NO,,
Harding MS,7110,59,3/24/11,Throughout Building,,Discuss food waste issues with staff to ensure all food waste is placed in the trash. Prevent any remaining food items from leaving the classroom after breakfast is served. ,Point Source,Building Occupants,,open,6/30/11,NO,,
Harrington Annex,1301,1,9/12/12,2nd Floor Hallway outside Janitor's Closet,,"In the hallway located outside the janitor's closet a 9""x9"" floor tile has popped up from the floor. Replace missing floor tile following completion of the DDC issued on 8/28/2012.",Point Source,M,,closed,9/12/12,NO,,
Harrington Annex,1301,2,9/12/12,Cafeteria,,"Missing 9""x9"" floor tile was observed in the cafeteria. Replace missing sections floor tile following completion of the DDC issued on 8/28/2012.",Point Source,M,,closed,9/12/12,NO,,
Harrington Annex,1301,3,9/12/12,Hallway outside the cafeteria,,"Missing 9""x9"" floor tile was observed in the hallway cafeteria.  Replace missing floor tile following completion of the DDC issued on 8/28/2012.",Point Source,M,,closed,9/12/12,NO,,
